experiment,case_name,impact_speed_mps,admittance_gain,peak_force_N,peak_time_s,threshold_N,force_target_N,max_penetration_mm,contact_duration_ms,threshold_duration_ms,first_contact_time_s,success_time_s,force_rmse_in_contact_N,mean_filtered_force_in_contact_N,tracking_rmse_mm,tracking_max_abs_error_mm,min_xy_error_mm,knocked_down
typical_single_hit,default_force_control,0.34,0.0014,62.7824580547487,0.399,10,14.5,6.49059963131842,85.0000000000001,68,0.364,0.389,27.7952179832362,33.4696340416557,7.45645638511109,21.3003390612085,1.98465667104189e-06,1
impact_speed_sweep,impact_speed_0.20_mps,0.2,0.0014,31.0477196722094,0.462,10,14.5,4.05982542431529,91.0000000000001,63,0.423,0.453,10.3618474793368,16.9911835544783,7.08708075304833,22.0813767784551,1.98465667104189e-06,1
impact_speed_sweep,impact_speed_0.26_mps,0.26,0.0014,45.2715012478226,0.426,10,14.5,5.21987343646483,88.0000000000001,67,0.389,0.416,17.7083109439307,24.3706993098829,7.26171189485682,21.7751738625239,1.98465667104189e-06,1
impact_speed_sweep,impact_speed_0.32_mps,0.32,0.0014,58.5918630710549,0.405,10,14.5,6.1988565331523,86.0000000000001,67,0.369,0.395,25.2800822741058,31.1796123915103,7.41029359986779,21.4116201639654,1.98465667104189e-06,1
impact_speed_sweep,impact_speed_0.38_mps,0.38,0.0014,69.5897752747254,0.39,10,14.5,6.95055368490951,84.0000000000001,68,0.355,0.38,31.8590218302716,36.9909515884689,7.53860940639154,21.1015383652838,1.98465667104189e-06,1
impact_speed_sweep,impact_speed_0.44_mps,0.44,0.0014,79.6398756716837,0.379,10,14.5,7.60466118620468,83.0000000000001,69,0.345,0.369,37.8256614954082,42.171646251686,7.63727207552863,20.7878395602599,1.98465667104189e-06,1
feedback_comparison,with_admittance_feedback,0.34,0.0014,62.7824580547487,0.399,10,14.5,6.49059963131842,85.0000000000001,68,0.364,0.389,27.7952179832362,33.4696340416557,7.45645638511109,21.3003390612085,1.98465667104189e-06,1
feedback_comparison,without_admittance_feedback,0.34,0,62.6206157271302,0.4,10,14.5,6.47946169202118,86.0000000000001,69,0.364,0.389,27.9529684420997,33.7273202870544,7.45109974581958,21.3426695438409,1.98465667104189e-06,1
force_threshold_sweep,threshold_6_N,0.34,0.0014,62.1421565282725,0.399,6,8.7,6.44553700456089,85.0000000000001,73.0000000000001,0.364,0.387,31.5969280030259,33.0542154905377,7.4813524625838,21.4035542639271,1.98465667104189e-06,1
force_threshold_sweep,threshold_8_N,0.34,0.0014,62.4596814784119,0.399,8,11.6,6.46788239598021,85.0000000000001,70,0.364,0.388,29.6319226550887,33.2593474785973,7.4688576309261,21.3512240214465,1.98465667104189e-06,1
force_threshold_sweep,threshold_10_N,0.34,0.0014,62.7824580547487,0.399,10,14.5,6.49059963131842,85.0000000000001,68,0.364,0.389,27.7952179832362,33.4696340416557,7.45645638511109,21.3003390612085,1.98465667104189e-06,1
force_threshold_sweep,threshold_15_N,0.34,0.0014,63.6026181238018,0.4,15,21.75,6.54818551663052,86.0000000000001,63,0.364,0.391,23.835308850493,33.7252030041344,7.42974671465687,21.1962026233114,1.98465667104189e-06,1
force_threshold_sweep,threshold_20_N,0.34,0.0014,64.455576313839,0.4,20,29,6.6058860219215,86.0000000000001,59,0.364,0.393,21.5242313732323,34.3170149871573,7.40371265172635,21.1051865849969,1.98465667104189e-06,1
