t,q1,q2,q3,q4,q5,q6
0,0,-1.0471975511966,1.5707963267949,-1.5707963267949,-1.5707963267949,0
0.01,-0.000139059964840116,-1.04735522836242,1.57101043380761,-1.57096970481301,-1.57079632679473,0.000211784546060075
0.02,-0.00106439965586256,-1.04840445155234,1.5724351552738,-1.57212340539029,-1.5707963267936,0.00162105173981982
0.03,-0.00343391934146956,-1.0510912000267,1.57608344313325,-1.57507768937451,-1.57079632679071,0.00522976580481806
0.04,-0.00777322799284948,-1.0560114507297,1.58276456385465,-1.58048787867542,-1.57079632678542,0.0118384149153199
0.05,-0.0144841782063777,-1.0636208558582,1.59309723943364,-1.58885499748653,-1.57079632677724,0.0220590096511085
0.06,-0.0238534011260177,-1.07424442043046,1.60752278839104,-1.60053641350693,-1.57079632676582,0.0363280814522771
0.07,-0.0360608413657214,-1.08808617985501,1.62631826677092,-1.6157564791631,-1.57079632675094,0.0549196810740205
0.08,-0.051188291931831,-1.10523887749933,1.64960960913877,-1.63461717283069,-1.5707963267325,0.0779583770414274
0.09,-0.0692279291454787,-1.12569364225871,1.67738476957964,-1.6571087400564,-1.57079632671051,0.105432254104272
0.1,-0.0900908475649889,-1.149349666125,1.70950686269624,-1.68312033477971,-1.57079632668508,0.137205911691806
0.11,-0.113615594908278,-1.1760238817554,1.74572730460714,-1.71245066055472,-1.5707963266564,0.173033462367549
0.12,-0.139576706975255,-1.20546064004121,1.78569895394485,-1.74481861177198,-1.57079632662476,0.212571530284084
0.13,-0.167693242570224,-1.23734138767669,1.82898925285401,-1.77987391488029,-1.57079632659049,0.255392249637846
0.14,-0.197637318424286,-1.27129434472777,1.87509336798947,-1.81720776960846,-1.57079632655399,0.300996263123913
0.15,-0.229042644117733,-1.30690418220085,1.92344733151447,-1.8563634901872,-1.5707963265157,0.348825720390803
0.16,-0.261513057002458,-1.3437216996116,1.97344118209879,-1.89684714657086,-1.57079632647612,0.39827727649526
0.17,-0.294631057124352,-1.38127350255373,2.02443210591682,-1.93813820565929,-1.57079632643575,0.448715090357049
0.18,-0.327966342145701,-1.4190716802678,2.07575757764579,-1.9797001725196,-1.57079632639512,0.499483823213747
0.19,-0.361084342267594,-1.45662348320994,2.12674850146382,-2.02099123160803,-1.57079632635475,0.549921637075536
0.2,-0.39355475515232,-1.49344100062069,2.17674235204814,-2.06147488799169,-1.57079632631517,0.599373193179993
0.21,-0.424960080845767,-1.52905083809376,2.22509631557314,-2.10063060857043,-1.57079632627689,0.647202650446882
0.22,-0.454904156699828,-1.56300379514484,2.2712004307086,-2.1379644632986,-1.57079632624039,0.69280666393295
0.23,-0.483020692294798,-1.59488454278032,2.31449072961775,-2.1730197664069,-1.57079632620612,0.735627383286712
0.24,-0.508981804361775,-1.62432130106614,2.35446237895547,-2.20538771762417,-1.57079632617447,0.775165451203247
0.25,-0.532506551705064,-1.65099551669653,2.39068282086637,-2.23471804339918,-1.5707963261458,0.81099300187899
0.26,-0.553369470124574,-1.67465154056282,2.42280491398297,-2.26072963812249,-1.57079632612036,0.842766659466524
0.27,-0.571409107338222,-1.6951063053222,2.45058007442384,-2.28322120534819,-1.57079632609837,0.870240536529369
0.28,-0.586536557904331,-1.71225900296653,2.47387141679169,-2.30208189901579,-1.57079632607993,0.893279232496776
0.29,-0.598743998144035,-1.72610076239107,2.49266689517157,-2.31730196467196,-1.57079632606505,0.911870832118519
0.3,-0.608113221063675,-1.73672432696334,2.50709244412897,-2.32898338069235,-1.57079632605363,0.926139903919686
0.31,-0.614824171277204,-1.74433373209183,2.51742511970796,-2.33735049950347,-1.57079632604545,0.936360498655476
0.32,-0.619163479928583,-1.74925398279483,2.52410624042936,-2.34276068880438,-1.57079632604016,0.942969147765979
0.33,-0.62153299961419,-1.75194073126919,2.52775452828881,-2.3457149727886,-1.57079632603728,0.946577861830977
0.34,-0.622458339305215,-1.75298995445912,2.529179249755,-2.34686867336588,-1.57079632603615,0.947987129024737
0.35,-0.622597399270053,-1.75314763162494,2.52939335676771,-2.34704205138399,-1.57079632603598,0.948198913570797
